113,5,3,293.33,306.67,-60,-52.5,24
114,5,3,306.67,320,-60,-52.5,24
115,5,3,320,333.33,-60,-52.5,24
116,5,3,333.33,346.67,-60,-52.5,24
117,5,3,346.67,360,-60,-52.5,24
118,6,3,0,11.25,-52.5,-45,25
119,6,3,11.25,22.5,-52.5,-45,25
120,6,3,22.5,33.75,-52.5,-45,25
121,6,3,33.75,45,-52.5,-45,25
122,7,3,45,56.25,-52.5,-45,25
123,7,3,56.25,67.5,-52.5,-45,25
124,7,3,67.5,78.75,-52.5,-45,25
125,7,3,78.75,90,-52.5,-45,25
126,8,3,90,101.25,-52.5,-45,25
127,8,3,101.25,112.5,-52.5,-45,25
128,8,3,112.5,123.75,-52.5,-45,25
129,8,3,123.75,135,-52.5,-45,25
130,9,3,135,146.25,-52.5,-45,25
131,9,3,146.25,157.5,-52.5,-45,25
132,9,3,157.5,168.75,-52.5,-45,25
133,9,3,168.75,180,-52.5,-45,25
134,10,3,180,191.25,-52.5,-45,25
135,10,3,191.25,202.5,-52.5,-45,25
136,10,3,202.5,213.75,-52.5,-45,25
137,10,3,213.75,225,-52.5,-45,25
138,11,3,225,236.25,-52.5,-45,25
139,11,3,236.25,247.5,-52.5,-45,25
140,11,3,247.5,258.75,-52.5,-45,25
141,11,3,258.75,270,-52.5,-45,25
142,12,3,270,281.25,-52.5,-45,25
143,12,3,281.25,292.5,-52.5,-45,25
144,12,3,292.5,303.75,-52.5,-45,25
145,12,3,303.75,315,-52.5,-45,25
146,13,3,315,326.25,-52.5,-45,25
147,13,3,326.25,337.5,-52.5,-45,25
148,13,3,337.5,348.75,-52.5,-45,25
149,13,3,348.75,360,-52.5,-45,25
150,6,3,0,10,-45,-37.5,25
151,6,3,10,20,-45,-37.5,25
152,6,3,20,30,-45,-37.5,25
153,6,3,30,40,-45,-37.5,25
154,7,3,40,50,-45,-37.5,25
155,7,3,50,60,-45,-37.5,25
156,7,3,60,70,-45,-37.5,25
157,7,3,70,80,-45,-37.5,25
158,7,3,80,90,-45,-37.5,25
159,8,3,90,100,-45,-37.5,25
160,8,3,100,110,-45,-37.5,25
161,8,3,110,120,-45,-37.5,25
162,8,3,120,130,-45,-37.5,25
163,8,3,130,140,-45,-37.5,25
164,9,3,140,150,-45,-37.5,25
165,9,3,150,160,-45,-37.5,25
166,9,3,160,170,-45,-37.5,25
167,9,3,170,180,-45,-37.5,25
168,10,3,180,190,-45,-37.5,25
169,10,3,190,200,-45,-37.5,25
170,10,3,200,210,-45,-37.5,25
171,10,3,210,220,-45,-37.5,25
172,11,3,220,230,-45,-37.5,25
173,11,3,230,240,-45,-37.5,25
174,11,3,240,250,-45,-37.5,25
175,11,3,250,260,-45,-37.5,25
176,11,3,260,270,-45,-37.5,25
177,12,3,270,280,-45,-37.5,25
178,12,3,280,290,-45,-37.5,25
179,12,3,290,300,-45,-37.5,25
180,12,3,300,310,-45,-37.5,25
181,12,3,310,320,-45,-37.5,25
182,13,3,320,330,-45,-37.5,25
183,13,3,330,340,-45,-37.5,25
184,13,3,340,350,-45,-37.5,25
185,13,3,350,360,-45,-37.5,25
186,6,3,0,9,-37.5,-30,25
187,6,3,9,18,-37.5,-30,25
188,6,3,18,27,-37.5,-30,25
189,6,3,27,36,-37.5,-30,25
190,6,3,36,45,-37.5,-30,25
191,7,3,45,54,-37.5,-30,25
192,7,3,54,63,-37.5,-30,25
193,7,3,63,72,-37.5,-30,25
194,7,3,72,81,-37.5,-30,25
195,7,3,81,90,-37.5,-30,25
196,8,3,90,99,-37.5,-30,25
197,8,3,99,108,-37.5,-30,25
198,8,3,108,117,-37.5,-30,25
199,8,3,117,126,-37.5,-30,25
200,8,3,126,135,-37.5,-30,25
201,9,3,135,144,-37.5,-30,25
202,9,3,144,153,-37.5,-30,25
203,9,3,153,162,-37.5,-30,25
204,9,3,162,171,-37.5,-30,25
205,9,3,171,180,-37.5,-30,25
206,10,3,180,189,-37.5,-30,25
207,10,3,189,198,-37.5,-30,25
208,10,3,198,207,-37.5,-30,25
209,10,3,207,216,-37.5,-30,25
210,10,3,216,225,-37.5,-30,25
211,11,3,225,234,-37.5,-30,25
212,11,3,234,243,-37.5,-30,25
213,11,3,243,252,-37.5,-30,25
214,11,3,252,261,-37.5,-30,25
215,11,3,261,270,-37.5,-30,25
216,12,3,270,279,-37.5,-30,25
217,12,3,279,288,-37.5,-30,25
218,12,3,288,297,-37.5,-30,25
219,12,3,297,306,-37.5,-30,25
220,12,3,306,315,-37.5,-30,25
221,13,3,315,324,-37.5,-30,25
222,13,3,324,333,-37.5,-30,25
223,13,3,333,342,-37.5,-30,25
224,13,3,342,351,-37.5,-30,25
225,13,3,351,360,-37.5,-30,25
226,6,3,0,8.37,-30,-22.5,25
227,6,3,8.37,16.74,-30,-22.5,25
228,6,3,16.74,25.12,-30,-22.5,25
229,6,3,25.12,33.49,-30,-22.5,25
230,6,3,33.49,41.86,-30,-22.5,25
231,7,3,41.86,50.23,-30,-22.5,25
232,7,3,50.23,58.6,-30,-22.5,25
233,7,3,58.6,66.98,-30,-22.5,25
234,7,3,66.98,75.35,-30,-22.5,25
235,7,3,75.35,83.72,-30,-22.5,25
236,7,3,83.72,92.09,-30,-22.5,25
237,8,3,92.09,100.47,-30,-22.5,25
238,8,3,100.47,108.84,-30,-22.5,25
239,8,3,108.84,117.21,-30,-22.5,25
240,8,3,117.21,125.58,-30,-22.5,25
241,8,3,125.58,133.95,-30,-22.5,25
242,9,3,133.95,142.33,-30,-22.5,25
243,9,3,142.33,150.7,-30,-22.5,25
244,9,3,150.7,159.07,-30,-22.5,25
245,9,3,159.07,167.44,-30,-22.5,25
