82,418,67.5,69.375,0,1.875,100
83,418,69.375,71.25,0,1.875,100
84,418,71.25,73.125,0,1.875,100
85,418,73.125,75,0,1.875,100
86,418,67.5,69.375,1.875,3.75,100
87,418,69.375,71.25,1.875,3.75,100
88,418,71.25,73.125,1.875,3.75,100
89,418,73.125,75,1.875,3.75,100
90,418,67.5,69.375,3.75,5.625,100
91,418,69.375,71.25,3.75,5.625,100
92,418,71.25,73.125,3.75,5.625,100
93,418,73.125,75,3.75,5.625,100
94,418,67.5,69.375,5.625,7.5,100
95,418,69.375,71.25,5.625,7.5,100
96,418,71.25,73.125,5.625,7.5,100
97,418,73.125,75,5.625,7.5,100
98,419,75,76.875,0,1.875,100
99,419,76.875,78.75,0,1.875,100
100,419,78.75,80.625,0,1.875,100
101,419,80.625,82.5,0,1.875,100
102,419,75,76.875,1.875,3.75,100
103,419,76.875,78.75,1.875,3.75,100
104,419,78.75,80.625,1.875,3.75,100
105,419,80.625,82.5,1.875,3.75,100
106,419,75,76.875,3.75,5.625,100
107,419,76.875,78.75,3.75,5.625,100
108,419,78.75,80.625,3.75,5.625,100
109,419,80.625,82.5,3.75,5.625,100
110,419,75,76.875,5.625,7.5,100
111,419,76.875,78.75,5.625,7.5,100
112,419,78.75,80.625,5.625,7.5,100
113,419,80.625,82.5,5.625,7.5,100
114,420,82.5,84.375,0,1.875,100
115,420,84.375,86.25,0,1.875,100
116,420,86.25,88.125,0,1.875,100
117,420,88.125,90,0,1.875,100
118,420,82.5,84.375,1.875,3.75,100
119,420,84.375,86.25,1.875,3.75,100
120,420,86.25,88.125,1.875,3.75,100
121,420,88.125,90,1.875,3.75,100
122,420,82.5,84.375,3.75,5.625,100
123,420,84.375,86.25,3.75,5.625,100
124,420,86.25,88.125,3.75,5.625,100
125,420,88.125,90,3.75,5.625,100
126,420,82.5,84.375,5.625,7.5,100
127,420,84.375,86.25,5.625,7.5,100
128,420,86.25,88.125,5.625,7.5,100
129,420,88.125,90,5.625,7.5,100
130,421,90,91.875,0,1.875,100
131,421,91.875,93.75,0,1.875,100
132,421,93.75,95.625,0,1.875,100
133,421,95.625,97.5,0,1.875,100
134,421,90,91.875,1.875,3.75,100
135,421,91.875,93.75,1.875,3.75,100
136,421,93.75,95.625,1.875,3.75,100
137,421,95.625,97.5,1.875,3.75,100
138,421,90,91.875,3.75,5.625,100
139,421,91.875,93.75,3.75,5.625,100
140,421,93.75,95.625,3.75,5.625,100
141,421,95.625,97.5,3.75,5.625,100
142,421,90,91.875,5.625,7.5,100
143,421,91.875,93.75,5.625,7.5,100
144,421,93.75,95.625,5.625,7.5,100
145,421,95.625,97.5,5.625,7.5,100
